n	m	n_	m_	d	rep	steps	steps_a	time	time_a	alpha	alpha_a	|a|	isA	isA_a
20	50	20	 	 49	5	5	80	149	3.2743	10.0367	2.8354	10.4777	13 	 True 	 True
30	10	29	 	 10	3	1	31	290	0.4133	73.7677	0.3978	17.2120	7 	 True 	 True
30	10	29	 	 10	3	2	15	424	0.2050	50.8424	0.2001	25.4123	6 	 True 	 True
30	10	30	 	 10	3	3	22	216	0.3074	38.0292	0.3018	19.8704	8 	 True 	 True
30	10	30	 	 10	3	4	17	113	0.2419	7.5480	0.4057	25.6109	6 	 True 	 True
30	10	28	 	 10	3	5	19	323	0.2513	24.8611	0.4685	34.5813	5 	 True 	 True
30	10	27	 	 10	4	1	38	183	0.4701	954.8869	0.1433	9.3621	8 	 True 	 True
30	10	28	 	 10	4	2	14	180	0.2070	18.9158	0.3214	9.7916	7 	 True 	 True
30	10	25	 	 10	4	3	32	1353	0.4102	851.5203	0.2503	16.7337	7 	 True 	 True
30	10	27	 	 10	4	4	23	1054	0.3023	77.7402	0.3521	29.4167	6 	 True 	 True
30	10	27	 	 10	4	5	21	89	0.2820	9.1364	0.3299	7.7953	7 	 True 	 True
30	10	23	 	 10	5	1	136	356	1.4355	11.3003	0.1923	6.7685	7 	 True 	 True
30	10	21	 	 10	5	2	25	65	0.2509	2.7263	0.7407	8.7629	6 	 True 	 True
30	10	28	 	 10	5	3	14	193	0.2017	7.7462	0.2866	16.6183	9 	 True 	 True
30	10	22	 	 10	5	4	52	270	0.5354	8.1569	0.5632	8.4557	8 	 True 	 True
30	10	25	 	 10	5	5	20	82	0.2448	5.3332	0.2870	3.8714	8 	 True 	 True
30	20	30	 	 20	3	1	18	109	0.5009	52.7036	0.6903	27.5446	9 	 True 	 True
30	20	30	 	 20	3	2	23	139	0.6380	54.3227	0.5725	28.1071	7 	 True 	 True
30	20	30	 	 20	3	3	16	67	0.4481	28.9674	1.0133	23.6153	6 	 True 	 True
30	20	30	 	 20	3	4	20	83	0.5472	29.2457	0.7230	39.9649	8 	 True 	 True
30	20	30	 	 20	3	5	13	77	0.3663	34.8786	0.6363	26.1737	7 	 True 	 True
30	20	30	 	 20	4	1	22	137	0.6108	79.3915	0.8198	12.4880	7 	 True 	 True
30	20	30	 	 20	4	2	15	114	0.4177	21.1216	0.5785	21.5487	7 	 True 	 True
30	20	29	 	 20	4	3	31	219	0.8125	58.5824	0.4822	15.9087	8 	 True 	 True
30	20	30	 	 20	4	4	36	1108	0.9739	402.6179	0.3058	16.8526	9 	 True 	 True
30	20	30	 	 20	4	5	20	158	0.5509	43.9643	0.6024	8.9443	9 	 True 	 True
30	20	30	 	 20	5	1	37	562	1.0051	82.6882	0.4610	22.3850	9 	 True 	 True
30	20	30	 	 20	5	2	32	315	0.8706	67.5732	0.6677	13.6432	10 	 True 	 True
30	20	28	 	 20	5	3	36	145	0.9043	19.6620	0.5984	9.7539	10 	 True 	 True
30	20	27	 	 20	5	4	83	648	1.9794	64.2653	1.1597	33.0913	10 	 True 	 True
30	20	29	 	 20	5	5	53	641	1.3962	82.8537	0.2392	19.2888	11 	 True 	 True
30	30	30	 	 30	3	1	14	73	0.5947	96.5842	0.9591	32.4851	8 	 True 	 True
30	30	30	 	 30	3	2	16	72	0.6816	106.9896	0.7872	36.2912	7 	 True 	 True
30	30	30	 	 30	3	3	21	106	0.8730	262.9081	0.9000	15.9353	6 	 True 	 True
30	30	30	 	 30	3	4	24	40	0.9935	81.7313	1.0566	20.1166	9 	 True 	 True
30	30	30	 	 30	3	5	18	55	0.7252	64.7844	1.0588	28.1203	6 	 True 	 True
30	30	30	 	 30	4	1	25	164	0.9857	47.7966	0.9796	39.6293	9 	 True 	 True
30	30	30	 	 30	4	2	32	81	1.2710	60.0479	1.3154	25.5847	8 	 True 	 True
30	30	30	 	 30	4	3	20	93	0.7959	36.2247	0.8213	19.5528	10 	 True 	 True
30	30	30	 	 30	4	4	28	81	1.0934	25.1123	0.7475	18.8873	8 	 True 	 True
30	30	30	 	 30	4	5	25	162	0.9813	66.7480	0.9929	22.5360	10 	 True 	 True
30	30	30	 	 30	5	1	26	156	1.0252	47.6872	1.0101	11.6053	12 	 True 	 True
30	30	30	 	 30	5	2	32	195	1.2493	89.4953	0.9206	14.5320	12 	 True 	 True
30	30	30	 	 30	5	3	33	48	1.2890	19.3445	1.1800	15.8547	11 	 True 	 True
30	30	30	 	 30	5	4	24	210	0.9422	77.7407	1.1570	16.3396	12 	 True 	 True
30	30	30	 	 30	5	5	15	96	0.6059	30.2108	1.0683	21.0364	13 	 True 	 True
30	40	30	 	 40	3	1	21	74	1.1222	317.1278	0.9974	48.4247	10 	 True 	 True
30	40	30	 	 40	3	2	21	56	1.0932	293.4739	1.1835	22.2495	8 	 True 	 True
30	40	30	 	 40	3	3	20	56	1.0549	134.7078	0.9389	28.5680	8 	 True 	 True
30	40	30	 	 40	3	4	16	42	0.8639	51.2088	1.1479	49.0444	7 	 True 	 True
30	40	30	 	 40	3	5	18	40	0.9585	70.6308	0.9689	28.9822	8 	 True 	 True
30	40	30	 	 40	4	1	17	85	0.9216	212.4198	1.0120	23.1911	9 	 True 	 True
30	40	30	 	 40	4	2	26	87	1.3654	60.1377	1.0629	19.7234	10 	 True 	 True
30	40	30	 	 40	4	3	26	49	1.3642	23.4544	1.1804	21.5639	12 	 True 	 True
30	40	30	 	 40	4	4	33	77	1.7334	32.6860	1.0474	40.0410	11 	 True 	 True
30	40	30	 	 40	4	5	40	79	2.0876	48.4554	1.5154	34.2309	10 	 True 	 True
30	40	30	 	 40	5	1	44	76	2.2772	34.1224	1.2081	10.6729	12 	 True 	 True
30	40	30	 	 40	5	2	21	59	1.1349	32.7608	1.3625	12.0397	12 	 True 	 True
30	40	30	 	 40	5	3	32	62	1.6593	38.4251	1.1662	12.4394	14 	 True 	 True
30	40	30	 	 40	5	4	21	57	1.1023	41.0500	1.0203	17.5244	11 	 True 	 True
30	40	30	 	 40	5	5	29	94	1.5046	60.6232	1.5365	15.1564	14 	 True 	 True
30	50	30	 	 50	3	1	14	34	0.9347	198.6850	1.2485	20.7280	7 	 True 	 True
30	50	30	 	 50	3	2	32	77	2.0581	2203.1738	1.3382	51.9885	8 	 True 	 True
30	50	30	 	 50	3	3	19	80	1.2490	2025.8700	1.4999	55.4432	8 	 True 	 True
30	50	30	 	 50	3	4	16	79	1.1970	175.0867	1.2338	44.8750	10 	 True 	 True
30	50	30	 	 50	3	5	19	74	1.2986	327.3483	1.2047	41.9131	7 	 True 	 True
30	50	30	 	 50	4	1	23	69	1.5050	64.2713	1.2562	23.2540	11 	 True 	 True
30	50	30	 	 50	4	2	24	84	1.5720	327.2675	1.4056	25.9235	12 	 True 	 True
30	50	30	 	 50	4	3	26	80	1.6698	111.4508	1.3143	48.3967	9 	 True 	 True
30	50	30	 	 50	4	4	29	63	1.8864	87.4190	1.3697	29.3102	10 	 True 	 True
30	50	30	 	 50	4	5	30	49	1.9965	46.8604	1.5971	22.5404	12 	 True 	 True
30	50	30	 	 50	5	1	17	110	1.1326	69.5361	1.4009	15.7836	12 	 True 	 True
30	50	30	 	 50	5	2	36	36	2.3374	14.4589	1.3659	8.6437	17 	 True 	 True
30	50	30	 	 50	5	3	21	58	1.4234	44.8639	1.2587	17.3180	12 	 True 	 True
30	50	30	 	 50	5	4	37	91	2.4134	35.4465	1.9592	16.0919	12 	 True 	 True
30	50	30	 	 50	5	5	26	57	1.6948	26.9471	1.4752	15.5723	14 	 True 	 True
40	10	40	 	 10	3	1	14	162	0.2723	68.3386	0.2815	15.0888	6 	 True 	 True
40	10	38	 	 10	3	2	32	214	0.5671	49.7667	0.3064	16.6973	6 	 True 	 True
40	10	38	 	 10	3	3	31	2265	0.5521	384.0611	0.0809	39.0494	7 	 True 	 True
40	10	39	 	 10	3	4	25	2376	0.4609	624.6224	0.1066	31.8962	6 	 True 	 True
40	10	39	 	 10	3	5	29	198	0.5314	47.6526	0.1977	13.7442	6 	 True 	 True
40	10	38	 	 10	4	1	22	1627	0.3968	266.5895	0.2494	18.8296	7 	 True 	 True
40	10	37	 	 10	4	2	20	679	0.3527	47.9657	0.0730	27.5401	6 	 True 	 True
40	10	38	 	 10	4	3	18	117	0.3290	8.1673	0.2513	32.2205	8 	 True 	 True
40	10	37	 	 10	4	4	31	174	0.5464	23.9254	0.4023	12.0942	7 	 True 	 True
40	10	38	 	 10	4	5	13	179	0.2418	40.7547	0.1712	13.3800	8 	 True 	 True
40	10	29	 	 10	5	1	15	135	0.2130	13.4102	0.6255	12.5294	6 	 True 	 True
40	10	32	 	 10	5	2	22	506	0.3389	81.8705	0.1738	4.8804	12 	 True 	 True
40	10	33	 	 10	5	3	15	229	0.2412	17.6156	0.2873	8.7625	10 	 True 	 True
40	10	30	 	 10	5	4	18	191	0.2591	15.0887	0.3669	7.6812	7 	 True 	 True
40	10	29	 	 10	5	5	18	57	0.2542	5.6043	0.4443	5.5919	11 	 True 	 True
40	20	39	 	 20	3	1	15	104	0.5421	219.6387	0.7206	33.8584	9 	 True 	 True
40	20	40	 	 20	3	2	12	136	0.4485	167.3541	0.4994	55.2797	8 	 True 	 True
40	20	40	 	 20	3	3	27	108	0.9622	216.8042	0.7434	29.6218	7 	 True 	 True
40	20	40	 	 20	3	4	17	111	0.6150	201.5880	0.6989	42.2074	8 	 True 	 True
40	20	40	 	 20	3	5	28	90	1.0444	230.2698	0.6809	31.8660	6 	 True 	 True
40	20	40	 	 20	4	1	13	78	0.4805	129.2777	0.5136	17.9466	10 	 True 	 True
40	20	40	 	 20	4	2	25	255	0.9223	219.7110	0.7841	36.0257	7 	 True 	 True
40	20	40	 	 20	4	3	32	415	1.1387	321.6316	0.4048	36.3874	10 	 True 	 True
40	20	39	 	 20	4	4	29	85	1.0056	55.9853	0.4655	21.5051	9 	 True 	 True
40	20	40	 	 20	4	5	26	271	0.9352	87.9876	0.4894	36.1540	9 	 True 	 True
40	20	39	 	 20	5	1	56	170	1.9310	138.0620	0.3852	16.7314	9 	 True 	 True
40	20	39	 	 20	5	2	30	536	1.0483	192.1204	0.5773	29.1307	11 	 True 	 True
40	20	40	 	 20	5	3	90	653	3.1595	184.8392	0.4006	25.1006	9 	 True 	 True
40	20	40	 	 20	5	4	36	239	1.2892	115.3237	0.3539	17.1461	10 	 True 	 True
40	20	39	 	 20	5	5	33	162	1.1458	64.7548	0.6015	25.7717	10 	 True 	 True
40	30	40	 	 30	3	1	13	106	0.7243	784.9089	0.7859	37.9658	9 	 True 	 True
40	30	40	 	 30	3	2	20	71	1.0687	2161.1606	0.7407	41.2019	7 	 True 	 True
40	30	40	 	 30	3	3	20	51	1.0719	362.4503	0.9032	29.9919	8 	 True 	 True
40	30	40	 	 30	3	4	24	90	1.2758	204.0478	0.9600	51.6352	7 	 True 	 True
40	30	40	 	 30	3	5	20	151	1.0709	675.8343	0.6532	41.2449	8 	 True 	 True
40	30	40	 	 30	4	1	22	119	1.1697	704.9169	0.8827	34.9813	12 	 True 	 True
40	30	40	 	 30	4	2	20	111	1.0491	4861.7319	0.8414	29.1392	9 	 True 	 True
40	30	40	 	 30	4	3	17	115	0.9143	1485.2825	0.6894	31.4533	12 	 True 	 True
40	30	40	 	 30	4	4	18	126	0.9589	2276.0581	0.9253	23.2463	8 	 True 	 True
